participant,location,recent_text,new_letter,iki
130,within word,their needs and help them live the best l,i,155
130,within word,Animals should be given som,e,119
130,before sentence,t they should not be able to drive a car.,l,2957
130,within word,le to drive a car. Letting animals have s,o,89
130,within word,Letting animals have some of the same rig,h,96
130,within word,tting animals have some of the same right,s,176
130,within word,f the same rights as humans might help th,e,81
130,before word,hem to be more obediant and respect their,o,609
130,within word,do daily functions such as having the res,p,136
130,within word,functions such as having the responsibilt,y,456
130,before word,they are not that reliable to count on to,d,203
130,before word, that reliable to count on to drive a car,o,162
130,within word, to count on to drive a car or be respons,i,95
130,before word,count on to drive a car or be responsible,f,161
130,within word, need. They should be able to report phys,c,305
